stage,kata,split,name,seed,attempts,length_m,width_m,min_radius_m,mean_abs_curvature,turn_integral_rad,straight_fraction,direction_changes,bbox_m,difficulty_index,image_px,origin,n_waypoints
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_04,202803,1,85.99,4.16,5.21,0.0923,7.92,0.373,4,"[36.1, 13.1]",0.369,"[885, 425]","[-22.095, -11.413]",171
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_05,202804,2,92.0,3.9,6.01,0.0822,7.54,0.395,4,"[38.9, 13.5]",0.357,"[937, 428]","[-23.43, -11.29]",183
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_06,202805,1,99.0,3.95,5.23,0.0829,8.18,0.446,4,"[42.7, 13.3]",0.377,"[1013, 426]","[-25.298, -11.61]",197
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_07,202806,2,93.0,3.93,5.75,0.0889,8.25,0.361,4,"[39.0, 14.6]",0.366,"[939, 452]","[-23.453, -12.301]",185
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_08,202807,1,88.0,4.09,4.92,0.0951,8.34,0.39,4,"[37.2, 13.1]",0.382,"[907, 425]","[-22.646, -11.64]",175
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_09,202808,1,99.0,4.0,5.8,0.0845,8.35,0.385,4,"[41.8, 15.0]",0.364,"[996, 461]","[-24.879, -12.617]",197
2,Taikyoku Nidan,train,kata_02_taikyoku_nidan_10,202809,4,92.99,3.9,6.05,0.0898,8.32,0.358,4,"[38.6, 15.1]",0.362,"[931, 460]","[-23.262, -12.446]",185
2,Taikyoku Nidan,eval,kata_02_taikyoku_nidan_e1,202850,1,92.0,3.8,5.51,0.0919,8.43,0.376,4,"[38.5, 14.4]",0.378,"[927, 445]","[-23.158, -12.17]",183
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_01,202900,4,108.0,3.63,5.0,0.0977,10.53,0.367,8,"[46.1, 16.0]",0.461,"[1075, 473]","[-26.882, -11.819]",215
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_02,202901,3,86.0,3.72,5.1,0.1247,10.69,0.201,8,"[36.0, 15.3]",0.456,"[874, 462]","[-21.819, -11.533]",171
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_03,202902,8,106.0,3.93,5.12,0.1002,10.6,0.336,8,"[45.5, 15.9]",0.447,"[1069, 476]","[-26.696, -12.128]",211
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_04,202903,10,114.0,3.67,4.46,0.0937,10.66,0.418,6,"[50.0, 12.6]",0.453,"[1154, 405]","[-28.877, -11.142]",227
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_05,202904,5,108.0,3.93,5.64,0.0963,10.38,0.29,8,"[44.9, 18.1]",0.433,"[1058, 521]","[-26.475, -12.914]",215
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_06,202905,5,102.0,3.94,4.88,0.0977,9.94,0.391,6,"[44.6, 11.8]",0.424,"[1052, 395]","[-26.269, -10.808]",203
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_07,202906,2,109.0,3.94,4.78,0.102,11.1,0.391,6,"[47.7, 12.8]",0.435,"[1113, 416]","[-27.744, -11.828]",217
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_08,202907,1,106.0,3.84,5.57,0.0979,10.35,0.317,8,"[45.6, 16.0]",0.438,"[1070, 477]","[-26.72, -11.874]",211
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_09,202908,7,106.0,3.64,4.51,0.1023,10.82,0.423,6,"[46.3, 11.7]",0.453,"[1080, 387]","[-27.013, -10.736]",211
3,Taikyoku Sandan,train,kata_03_taikyoku_sandan_10,202909,1,109.0,3.92,4.65,0.1068,11.62,0.349,8,"[46.4, 16.9]",0.468,"[1086, 497]","[-27.2, -12.186]",217
3,Taikyoku Sandan,eval,kata_03_taikyoku_sandan_e1,202950,4,93.0,3.62,5.76,0.1135,10.52,0.189,8,"[37.8, 17.7]",0.443,"[909, 506]","[-22.712, -12.598]",185
4,Heian Shodan,train,kata_04_heian_shodan_01,203000,1,93.01,3.6,4.59,0.0676,6.29,0.511,0,"[32.2, 27.3]",0.347,"[797, 699]","[-19.576, -18.299]",186
4,Heian Shodan,train,kata_04_heian_shodan_02,203001,1,81.03,3.45,4.07,0.0776,6.29,0.556,0,"[29.6, 25.2]",0.373,"[742, 654]","[-18.522, -16.277]",162
4,Heian Shodan,train,kata_04_heian_shodan_03,203002,1,104.73,3.44,4.59,0.06,6.27,0.658,0,"[30.8, 34.9]",0.354,"[766, 847]","[-16.238, -22.646]",209
4,Heian Shodan,train,kata_04_heian_shodan_04,203003,1,83.39,3.8,3.35,0.0754,6.28,0.646,0,"[32.4, 21.1]",0.395,"[805, 579]","[-19.884, -12.69]",166
4,Heian Shodan,train,kata_04_heian_shodan_05,203004,1,80.04,3.62,4.09,0.0786,6.28,0.547,0,"[28.8, 24.5]",0.365,"[728, 643]","[-19.134, -16.265]",160
4,Heian Shodan,train,kata_04_heian_shodan_06,203005,1,100.03,3.67,4.78,0.0629,6.29,0.61,0,"[37.2, 30.3]",0.338,"[898, 759]","[-22.703, -18.22]",200
4,Heian Shodan,train,kata_04_heian_shodan_07,203006,1,101.0,3.48,5.13,0.0622,6.29,0.572,0,"[39.3, 26.4]",0.336,"[935, 679]","[-23.756, -16.266]",202
4,Heian Shodan,train,kata_04_heian_shodan_08,203007,1,84.02,3.47,3.41,0.0748,6.29,0.592,0,"[27.6, 29.6]",0.405,"[702, 742]","[-17.33, -18.514]",168
4,Heian Shodan,train,kata_04_heian_shodan_09,203008,1,75.97,3.53,5.38,0.0827,6.27,0.455,0,"[23.3, 26.2]",0.327,"[618, 675]","[-14.362, -16.881]",151
4,Heian Shodan,train,kata_04_heian_shodan_10,203009,1,95.01,3.64,5.48,0.0662,6.28,0.497,0,"[34.1, 25.9]",0.32,"[835, 671]","[-20.77, -18.182]",190
4,Heian Shodan,eval,kata_04_heian_shodan_e1,203050,1,104.04,3.53,3.91,0.0604,6.29,0.649,0,"[37.9, 31.4]",0.377,"[909, 778]","[-21.716, -20.005]",208
5,Heian Nidan,train,kata_05_heian_nidan_01,203100,1,125.28,3.6,3.88,0.0549,6.88,0.693,2,"[51.7, 26.6]",0.404,"[1187, 684]","[-30.753, -19.054]",250
5,Heian Nidan,train,kata_05_heian_nidan_02,203101,1,80.14,3.32,3.35,0.0876,7.01,0.562,2,"[22.2, 26.1]",0.446,"[591, 670]","[-16.17, -16.672]",160
5,Heian Nidan,train,kata_05_heian_nidan_03,203102,1,119.07,3.24,3.24,0.0568,6.75,0.7,2,"[45.4, 26.5]",0.456,"[1053, 676]","[-24.925, -15.509]",238
5,Heian Nidan,train,kata_05_heian_nidan_04,203103,1,94.25,3.33,3.36,0.0733,6.89,0.617,2,"[33.6, 25.8]",0.444,"[819, 662]","[-18.38, -17.851]",188
5,Heian Nidan,train,kata_05_heian_nidan_05,203104,1,87.49,3.54,4.74,0.0836,7.29,0.453,2,"[31.9, 25.2]",0.376,"[789, 655]","[-20.297, -17.363]",174
5,Heian Nidan,train,kata_05_heian_nidan_06,203105,1,99.09,3.5,4.37,0.0723,7.16,0.568,2,"[32.0, 34.6]",0.39,"[790, 842]","[-20.266, -21.873]",198
5,Heian Nidan,train,kata_05_heian_nidan_07,203106,1,101.55,3.23,3.15,0.0707,7.17,0.7,2,"[25.3, 39.3]",0.465,"[650, 930]","[-14.779, -22.062]",203
5,Heian Nidan,train,kata_05_heian_nidan_08,203107,1,111.08,3.38,3.16,0.0685,7.6,0.678,2,"[28.1, 37.4]",0.46,"[710, 896]","[-18.566, -21.996]",222
5,Heian Nidan,train,kata_05_heian_nidan_09,203108,1,111.61,3.3,3.42,0.066,7.35,0.648,2,"[30.7, 41.2]",0.445,"[760, 970]","[-16.932, -25.105]",223
5,Heian Nidan,train,kata_05_heian_nidan_10,203109,1,106.46,3.49,4.05,0.0639,6.79,0.654,2,"[42.6, 24.3]",0.4,"[1003, 636]","[-25.537, -13.445]",212
5,Heian Nidan,eval,kata_05_heian_nidan_e1,203150,2,82.41,3.26,3.3,0.0881,7.24,0.535,2,"[29.2, 22.0]",0.454,"[730, 587]","[-16.623, -14.61]",164
6,Heian Sandan,train,kata_06_heian_sandan_01,203200,1,120.99,3.39,3.67,0.0707,8.54,0.615,6,"[38.9, 38.0]",0.485,"[927, 908]","[-20.194, -23.418]",241
6,Heian Sandan,train,kata_06_heian_sandan_02,203201,1,129.41,3.07,3.48,0.0692,8.94,0.582,6,"[42.6, 42.4]",0.515,"[994, 990]","[-22.865, -25.816]",258
6,Heian Sandan,train,kata_06_heian_sandan_03,203202,1,99.37,3.31,2.84,0.0799,7.93,0.617,6,"[30.4, 31.6]",0.54,"[754, 778]","[-22.349, -19.561]",198
6,Heian Sandan,train,kata_06_heian_sandan_04,203203,1,120.05,3.39,3.36,0.0661,7.93,0.658,4,"[39.7, 36.2]",0.473,"[942, 872]","[-25.309, -20.336]",240
6,Heian Sandan,train,kata_06_heian_sandan_05,203204,1,107.35,3.24,3.62,0.0795,8.52,0.545,6,"[42.3, 26.0]",0.495,"[992, 665]","[-25.182, -18.084]",214
6,Heian Sandan,train,kata_06_heian_sandan_06,203205,1,98.01,3.16,2.76,0.0763,7.48,0.612,4,"[35.8, 24.2]",0.527,"[860, 628]","[-22.858, -16.344]",196
6,Heian Sandan,train,kata_06_heian_sandan_07,203206,1,126.08,3.24,3.59,0.0598,7.53,0.649,4,"[41.8, 37.1]",0.465,"[981, 886]","[-27.239, -23.722]",252
6,Heian Sandan,train,kata_06_heian_sandan_08,203207,1,115.02,3.25,3.4,0.0675,7.76,0.602,4,"[36.8, 30.6]",0.477,"[881, 757]","[-23.492, -19.314]",230
6,Heian Sandan,train,kata_06_heian_sandan_09,203208,1,113.01,3.03,2.85,0.0702,7.94,0.635,4,"[40.2, 32.9]",0.53,"[946, 799]","[-23.335, -20.84]",226
6,Heian Sandan,train,kata_06_heian_sandan_10,203209,1,120.92,3.02,2.75,0.0663,8.0,0.644,6,"[35.8, 39.8]",0.565,"[857, 936]","[-17.371, -23.594]",241
6,Heian Sandan,eval,kata_06_heian_sandan_e1,203250,1,102.03,3.17,3.48,0.0738,7.53,0.554,4,"[33.7, 26.3]",0.475,"[819, 669]","[-22.03, -16.496]",204
7,Heian Yondan,train,kata_07_heian_yondan_01,203300,1,127.58,3.06,1.93,0.1024,13.06,0.608,6,"[42.9, 31.1]",0.691,"[1000, 764]","[-24.262, -18.828]",255
7,Heian Yondan,train,kata_07_heian_yondan_02,203301,3,111.03,3.14,1.97,0.1127,12.51,0.561,6,"[37.8, 29.4]",0.683,"[898, 732]","[-21.519, -16.473]",222
7,Heian Yondan,train,kata_07_heian_yondan_03,203302,1,119.04,3.11,1.96,0.1124,13.38,0.578,6,"[42.2, 34.1]",0.691,"[987, 825]","[-24.159, -19.836]",238
7,Heian Yondan,train,kata_07_heian_yondan_04,203303,1,92.44,3.17,1.98,0.145,13.37,0.396,6,"[23.8, 29.1]",0.687,"[620, 727]","[-14.985, -20.046]",184
7,Heian Yondan,train,kata_07_heian_yondan_05,203304,1,96.96,3.08,1.94,0.1259,12.18,0.496,4,"[34.0, 25.7]",0.659,"[822, 655]","[-19.611, -15.552]",193
7,Heian Yondan,train,kata_07_heian_yondan_06,203305,1,123.76,3.15,1.97,0.1018,12.6,0.59,6,"[41.4, 28.3]",0.683,"[972, 710]","[-23.436, -17.053]",247
7,Heian Yondan,train,kata_07_heian_yondan_07,203306,3,132.71,3.15,1.97,0.0949,12.58,0.626,4,"[47.4, 32.3]",0.658,"[1091, 789]","[-25.567, -20.4]",265
7,Heian Yondan,train,kata_07_heian_yondan_08,203307,3,100.39,3.2,2.0,0.1255,12.58,0.529,4,"[33.2, 24.8]",0.655,"[808, 640]","[-20.498, -15.61]",200
7,Heian Yondan,train,kata_07_heian_yondan_09,203308,1,89.98,3.04,1.92,0.14,12.57,0.507,4,"[30.1, 24.0]",0.664,"[743, 621]","[-17.168, -15.987]",179
7,Heian Yondan,train,kata_07_heian_yondan_10,203309,2,117.15,3.12,1.96,0.1113,13.03,0.605,6,"[46.0, 20.1]",0.688,"[1063, 545]","[-25.343, -11.696]",234
7,Heian Yondan,eval,kata_07_heian_yondan_e1,203350,1,126.42,3.03,1.91,0.1046,13.21,0.598,6,"[34.4, 36.9]",0.694,"[829, 880]","[-24.033, -23.263]",252
8,Heian Godan,train,kata_08_heian_godan_01,203400,1,121.81,3.07,1.94,0.1068,13.0,0.561,4,"[42.5, 26.4]",0.665,"[991, 670]","[-26.227, -17.668]",243
8,Heian Godan,train,kata_08_heian_godan_02,203401,2,117.71,2.93,1.86,0.1089,12.8,0.564,6,"[45.4, 19.9]",0.698,"[1047, 537]","[-24.791, -13.873]",235
8,Heian Godan,train,kata_08_heian_godan_03,203402,2,112.81,3.17,1.99,0.1138,12.83,0.574,6,"[42.6, 22.0]",0.684,"[995, 584]","[-23.42, -13.424]",225
8,Heian Godan,train,kata_08_heian_godan_04,203403,1,122.95,2.96,1.88,0.1054,12.94,0.599,6,"[47.7, 27.8]",0.697,"[1094, 697]","[-27.458, -18.131]",245
8,Heian Godan,train,kata_08_heian_godan_05,203404,1,105.24,3.18,1.99,0.1234,12.96,0.498,6,"[39.3, 22.1]",0.684,"[930, 587]","[-21.925, -15.448]",210
8,Heian Godan,train,kata_08_heian_godan_06,203405,2,116.08,3.14,1.97,0.1141,13.23,0.552,4,"[41.7, 23.3]",0.663,"[977, 610]","[-25.449, -15.092]",232
8,Heian Godan,train,kata_08_heian_godan_07,203406,2,142.83,2.83,1.81,0.1384,19.76,0.511,10,"[47.8, 35.9]",0.8,"[1092, 856]","[-27.863, -22.092]",285
8,Heian Godan,train,kata_08_heian_godan_08,203407,4,137.7,2.88,1.84,0.1035,14.23,0.584,6,"[45.9, 35.3]",0.71,"[1056, 844]","[-24.257, -19.317]",275
8,Heian Godan,train,kata_08_heian_godan_09,203408,6,125.22,2.93,1.86,0.1552,19.4,0.424,8,"[41.0, 29.2]",0.766,"[959, 723]","[-24.729, -16.206]",250
8,Heian Godan,train,kata_08_heian_godan_10,203409,1,136.24,2.82,1.81,0.0962,13.09,0.645,6,"[52.0, 34.4]",0.707,"[1177, 826]","[-28.999, -23.183]",272
8,Heian Godan,eval,kata_08_heian_godan_e1,203450,2,117.59,3.18,1.99,0.11,12.93,0.53,6,"[43.9, 26.9]",0.684,"[1022, 681]","[-25.174, -15.524]",235
9,Tekki Shodan,train,kata_09_tekki_shodan_01,203500,5,135.0,2.55,2.9,0.1167,15.73,0.456,12,"[61.6, 8.5]",0.711,"[1364, 302]","[-34.063, -8.581]",269
9,Tekki Shodan,train,kata_09_tekki_shodan_02,203501,1,132.0,2.44,3.08,0.1173,15.45,0.391,14,"[59.8, 11.2]",0.705,"[1326, 353]","[-33.129, -8.893]",263
9,Tekki Shodan,train,kata_09_tekki_shodan_03,203502,1,136.0,2.71,3.5,0.1141,15.49,0.42,14,"[62.0, 10.9]",0.656,"[1375, 353]","[-34.458, -8.801]",271
9,Tekki Shodan,train,kata_09_tekki_shodan_04,203503,4,108.0,2.49,3.2,0.1193,12.86,0.418,10,"[48.0, 9.4]",0.65,"[1090, 318]","[-27.221, -8.71]",215
9,Tekki Shodan,train,kata_09_tekki_shodan_05,203504,1,132.0,2.66,2.56,0.0973,12.82,0.548,10,"[61.5, 8.9]",0.69,"[1363, 313]","[-33.961, -7.793]",263
9,Tekki Shodan,train,kata_09_tekki_shodan_06,203505,2,116.0,2.49,2.69,0.1279,14.8,0.374,14,"[52.7, 10.2]",0.729,"[1185, 334]","[-29.514, -8.531]",231
9,Tekki Shodan,train,kata_09_tekki_shodan_07,203506,1,136.0,2.72,2.83,0.1001,13.58,0.558,10,"[63.2, 7.7]",0.665,"[1398, 290]","[-34.966, -8.156]",271
9,Tekki Shodan,train,kata_09_tekki_shodan_08,203507,3,93.0,2.48,2.92,0.1384,12.83,0.34,10,"[41.5, 10.2]",0.672,"[960, 335]","[-23.94, -8.555]",185
9,Tekki Shodan,train,kata_09_tekki_shodan_09,203508,2,138.0,2.54,2.94,0.1084,14.93,0.468,12,"[63.2, 8.5]",0.704,"[1396, 301]","[-34.867, -8.56]",275
9,Tekki Shodan,train,kata_09_tekki_shodan_10,203509,1,108.0,2.71,2.99,0.1207,13.0,0.392,10,"[48.4, 10.8]",0.648,"[1102, 351]","[-27.635, -8.976]",215
9,Tekki Shodan,eval,kata_09_tekki_shodan_e1,203550,1,111.0,2.43,3.34,0.1426,15.79,0.3,14,"[48.6, 11.9]",0.691,"[1101, 366]","[-27.547, -9.186]",221
10,Bassai Dai,train,kata_10_bassai_dai_01,203600,1,195.19,2.84,1.82,0.1114,21.72,0.544,12,"[55.7, 54.1]",0.838,"[1251, 1219]","[-30.132, -31.701]",390
10,Bassai Dai,train,kata_10_bassai_dai_02,203601,3,167.07,3.11,1.96,0.0832,13.89,0.612,8,"[54.9, 46.4]",0.719,"[1241, 1071]","[-28.649, -27.445]",334
10,Bassai Dai,train,kata_10_bassai_dai_03,203602,4,143.17,3.16,1.98,0.1003,14.34,0.565,10,"[39.6, 41.5]",0.744,"[937, 973]","[-24.055, -22.76]",286
10,Bassai Dai,train,kata_10_bassai_dai_04,203603,1,179.04,3.12,1.96,0.0834,14.93,0.623,10,"[56.1, 52.9]",0.75,"[1266, 1201]","[-33.001, -29.578]",358
10,Bassai Dai,train,kata_10_bassai_dai_05,203604,3,184.37,2.61,1.7,0.0817,15.06,0.581,12,"[61.3, 49.0]",0.811,"[1359, 1112]","[-36.993, -27.264]",368
10,Bassai Dai,train,kata_10_bassai_dai_06,203605,1,166.59,2.96,1.88,0.0829,13.8,0.61,8,"[58.0, 44.2]",0.727,"[1299, 1023]","[-34.33, -25.641]",333
10,Bassai Dai,train,kata_10_bassai_dai_07,203606,1,148.63,2.94,1.87,0.0981,14.56,0.554,10,"[52.4, 43.8]",0.759,"[1188, 1015]","[-27.737, -25.184]",297
10,Bassai Dai,train,kata_10_bassai_dai_08,203607,1,171.98,2.6,1.7,0.0854,14.66,0.619,10,"[56.1, 48.8]",0.784,"[1255, 1109]","[-34.624, -28.85]",343
10,Bassai Dai,train,kata_10_bassai_dai_09,203608,1,179.64,3.04,1.92,0.1197,21.49,0.486,14,"[56.6, 46.1]",0.823,"[1274, 1063]","[-32.254, -29.388]",359
10,Bassai Dai,train,kata_10_bassai_dai_10,203609,3,154.3,2.61,1.71,0.1011,15.6,0.543,8,"[48.7, 37.1]",0.764,"[1107, 875]","[-29.19, -21.532]",308
10,Bassai Dai,eval,kata_10_bassai_dai_e1,203650,2,199.19,3.09,1.95,0.1086,21.61,0.555,12,"[67.4, 54.8]",0.821,"[1491, 1239]","[-39.382, -30.547]",398
